Sw,krw,krow,pcow
0.22,0,1,6.3
0.3,0.07,0.4,3.6
0.4,0.15,0.125,2.7
0.5,0.24,0.0649,2.25
0.6,0.33,0.0048,1.8
0.8,0.65,0,0.9
0.9,0.83,0,0.45
1,1,0,0

