x,bhp
96.06,96.06
97.561,3309.41
193.621,3151.4
195.122,3327.63
297.186,3000.98
298.687,3108.25
300.188,3165.71
388.743,2739.57
396.248,2927.24
397.749,2862.09
399.25,2980.85
493.809,2470.37
496.811,2332.41
499.812,2673.37
501.313,2573.74
594.371,2124.57
598.874,1864
600.375,2243.29
601.876,1572.78
699.437,1495.22
702.439,1579.48
816.51,1482.6
903.565,1497.09
996.623,1492.37
1098.69,1495.22
1197.75,1494.27
1296.81,1500.99
1397.37,1492.36
1502.44,1502.85
