x,gor
97.4695,1266.09
100.469,1408.76
194.939,1390.19
196.439,1234.58
290.909,3503.62
296.907,1781
298.407,2453.75
394.377,7748.39
395.876,16173
400.375,23364.4
404.873,10673.8
496.345,68708.1
497.844,37064.4
500.843,30652.3
595.314,211866
596.813,56070.2
598.313,136559
599.813,91212.2
601.312,188138
691.284,187887
697.282,356622
700.281,55323.6
703.28,594045
791.753,97666.1
794.752,25846.7
796.251,67596
799.25,56569.5
800.75,45147.6
893.721,3431.46
895.22,15677
898.219,17862.6
901.218,7077.23
998.688,8544.95
1000.19,3950.47
1001.69,5129.09
1006.19,3115.42
1096.16,1935.31
1100.66,3630.1
1102.16,5370.46
1103.66,4136.19
1109.65,2795.49
1196.63,2694.23
1199.63,1932.35
1207.12,1260.29
1297.09,2333.09
1301.59,1999.36
1306.09,1028.5
1309.09,1503.6
1390.07,1881.69
1399.06,1431.97
1400.56,2385.47
1402.06,1102.84
1490.53,943.913
1496.53,1856.56
1499.53,1127.7
1504.03,799.246
1511.53,1516.99
