x,wpc
99.6236,0.656003
101.021,0.404273
197.796,1.43794
205.198,1.14973
298.979,2.2196
301.858,1.91383
400.193,3.07315
403.048,2.71346
495.386,3.92724
501.26,3.58525
596.584,4.74485
597.935,4.38529
693.283,5.59881
697.643,5.23898
794.489,6.43438
795.855,6.11077
894.043,6.92865
894.19,7.2701
992.408,8.15986
998.259,7.76396
1090.61,9.01368
1094.95,8.59994
1194.87,9.93884
1196.18,9.48943
1294.57,10.7746
1295.89,10.3431
1397.29,11.6459
1398.6,11.1786
1497,12.4817
1502.85,12.1037
