x,opr,opc
92.771,2085.31,1521.67
92.8975,2096.03,1732.4
94.7089,2249.59,1567.06
96.2904,2383.64,1422.71
97.1664,2464.59,1342.75
97.8795,2530.47,1347.02
193.006,976.089,1916.15
197.551,1046.21,1943.34
198.092,1077.28,1946.57
198.418,1096.01,2489.35
199.106,1135.56,2383.82
199.792,1131.97,2278.58
201.186,1124.69,2099.74
294.756,635.373,2952.81
294.865,634.802,2945.05
297.921,724.116,2728.11
297.955,781.587,2725.66
300.514,775.978,2543.97
302.088,772.528,2665.25
315.443,743.257,2409.45
392.39,574.606,2996.37
393.851,681.508,3007.52
393.96,689.505,3024.76
395.509,612.553,3269.28
396.642,556.268,2656.22
398.332,472.269,2712.57
401.236,466.583,2809.35
494.28,284.403,2995.03
495.909,316.326,2998.28
497.517,347.836,3177.03
497.72,351.818,3515.47
498.836,373.676,3388.68
500.356,405.562,3215.93
503.341,400.03,2876.74
592.401,234.975,3717.17
594.81,230.509,3264.62
596.376,339.022,2970.48
596.447,329.569,2957.16
596.662,300.955,3314.75
597.766,153.798,3249.04
599.56,153.748,3142.25
692.323,151.156,3374.83
692.759,129.21,3375.92
694.141,59.5045,3177.93
695.237,4.20395,3112.67
696.788,87.1747,3020.38
697.039,87.3541,3005.43
697.522,87.6993,3810.01
791.387,154.774,3336.9
791.796,148.333,3334.84
791.876,147.063,3468.94
796.122,80.0829,3040.98
796.187,79.0548,3149.53
798.083,49.1479,3807.21
800.309,14.0399,3788.11
800.324,39.5823,3787.98
886.185,179.736,3051.23
895.665,195.212,3842.79
896.478,196.538,3313.77
896.745,183.701,3140.34
896.917,175.389,3427.69
897.937,126.255,3400.1
902.405,68.6589,3279.24
902.825,68.7642,3267.88
987.259,89.9575,3904.09
989.947,90.632,3380.39
991.283,90.9674,3105.77
992.841,91.3585,3201.51
993.976,91.6434,3286.03
997.055,219.271,3515.33
997.555,207.383,3552.59
1000.01,148.946,3543.35
1090.13,254.985,3204.59
1093.4,166.681,3192.31
1093.66,159.733,3620.15
1093.85,154.341,3952.2
1094.92,125.459,3230.59
1096.04,95.1776,3395.53
1096.57,119.159,3473.2
1097.59,165.377,3475.62
1190.71,284.104,3698.24
1194.27,191.822,3706.74
1197,120.981,3253.28
1197.46,108.942,4025.93
1198.1,92.3263,3793.73
1198.7,126.372,3578.9
1199.66,181.683,3584.29
1290.56,85.3262,4093.57
1294.6,81.0491,3314.41
1296.27,79.2794,3595.33
1298.66,76.7457,3643.82
1298.72,178.915,3645.06
1300.27,268.271,3676.6
1305.38,262.69,3780.26
1389.63,170.671,4103.58
1390.87,169.321,3662.93
1394,165.895,3886.34
1395.21,164.578,3394.61
1396.27,163.418,3403.14
1396.34,271.973,3403.67
1400.73,93.0511,3438.99
1490.23,236.853,4158.24
1491.47,238.846,3723.98
1491.65,239.136,4024.1
1492.79,240.975,3430.2
1498.39,249.965,526.347
1501.28,64.6993,-973.827
1504.34,166.785,-2563.53
