x,dp
97.8106,2.50493
97.9111,1.50107
98.0734,-0.120563
100.581,4.8214
198.219,4.04449
199.96,1.65058
200.153,-0.27993
201.322,3.04048
297.738,-0.5163
298.767,4.19407
299.061,1.2597
300.477,2.10905
301.862,3.26728
399.763,-0.135124
400.538,7.12353
402.24,5.11572
402.394,3.57131
404.127,1.25463
492.644,1.63646
499.577,7.35041
499.778,5.34267
500.63,11.8291
503.336,-0.217342
503.871,9.43514
596.53,28.4268
597.434,19.392
598.647,7.26841
602.478,13.9864
604.226,11.5152
606.762,1.16763
606.902,-0.222341
610.361,10.2022
698.162,32.7462
699.775,1.62646
700.213,42.2442
701.903,10.3522
703.19,27.495
704.382,30.5838
704.463,-0.227049
704.567,28.7305
794.211,2.85742
799.759,7.41314
801.885,1.15821
802.475,10.2702
803.525,-0.23183
807.603,4.01508
905.396,1.69375
905.505,0.612669
905.613,-0.468418
999.987,1.38031
1003.17,-0.395906
1004.56,0.685108
1100.74,-0.555055
1105.01,1.76134
1105.14,0.525814
1204.07,1.83378
1204.29,-0.328392
1207.16,0.984211
1301.63,1.82907
1304.84,-0.256025
1306.22,0.97943
1397.68,1.90166
1399.39,-0.106148
1400.76,1.12931
1495.35,0.893082
1499.76,1.74229
1504.44,0.0432222
