x,opr,opc
95.572,2084.32,336.762
96.881,2148.1,449.359
96.9623,2152.06,441.62
98.3486,2219.61,309.495
98.6773,2291.44,278.168
99.4411,2458.34,283.071
193.051,1313.14,883.939
196.751,1442.48,907.694
197.302,1461.74,889.749
198.534,1619.39,849.641
199.934,1614.44,804.055
201.607,1608.53,704.937
291.038,1292.55,1118.34
295.398,1277.14,1203.88
295.8,1275.72,969.642
298.294,1266.91,977.246
301.601,1091.2,987.325
301.833,956.06,988.032
394.439,853.841,1270.33
395.539,852.627,1504.55
395.709,852.439,1405.45
396.66,851.389,1408.22
398.286,779.299,1412.96
399.487,954.961,1416.45
494.371,657.459,1692.63
494.647,656.592,1679.67
496.005,691.641,1616.04
496.268,698.431,1462.88
500.402,805.176,1470.07
502.035,728.581,1472.91
596.625,639.032,1637.43
598.342,637.406,1802.32
599.205,657.567,1885.14
601.231,704.941,1846.91
601.471,565.299,1842.38
602.31,566.049,1826.55
695.071,649.013,2050.73
695.279,649.199,1929.11
695.973,649.82,1867.38
697.052,607.564,1771.43
697.584,586.739,1878.77
697.708,514.665,1903.75
698.168,514.448,1996.64
793.926,469.235,2225.29
795.44,468.52,2154.32
795.56,480.278,2148.7
796.726,594.631,1998.84
797.487,585.671,1900.93
801.325,540.526,1917.37
892.936,443.749,2309.76
894.33,442.277,2372.81
896.145,440.359,2081.09
896.404,443.528,2039.45
900.56,494.363,2060.42
901.969,548.401,2067.53
991.729,469.375,2520.36
993.819,467.534,2178
994.85,466.627,2452.76
995.256,466.27,2453.32
996.681,511.299,2455.28
996.851,412.198,2455.51
1092.27,483.81,2586.8
1093.7,484.879,2631.83
1096.87,487.262,2532.69
1097.33,487.604,2266.92
1097.38,487.642,2267.19
1097.55,388.541,2268.08
1098.97,438.075,2275.55
1191.13,445.287,2761.36
1197.79,445.808,2378.4
1199.61,445.95,2590.85
1199.69,396.4,2600.8
1199.75,364.868,2607.14
1200.3,364.741,2671.17
1293.1,343.245,2872.83
1296.79,342.39,2471.88
1297.78,342.16,2769.17
1301.95,341.194,2778.34
1304.8,431.252,2784.6
1306.37,390.694,2788.06
1393.57,358.713,2979.8
1393.71,358.662,2898.72
1394.27,358.454,2569.88
1395.07,358.164,2573.47
1396.48,407.697,2579.88
1396.62,326.615,2580.51
1492.66,313.016,3014.72
1494.79,312.716,2654.34
1497.02,312.4,3104.76
1500.31,311.933,3769.47
1501.7,379.485,4049.33
1503.22,365.955,4357.29
