x,wor
94.826,1.83388
96.3311,1.575
97.8363,0.79865
189.652,3.73245
194.167,3.18219
198.683,2.63192
295.014,5.33888
299.53,4.52988
302.54,4.17382
392.85,6.84904
397.366,5.42556
493.697,8.19719
495.202,6.74167
496.707,7.32367
591.533,9.51331
596.049,7.73407
689.37,10.7324
693.885,8.53272
793.227,11.7245
794.732,10.3983
796.237,9.49262
888.053,12.7822
894.073,11.3262
898.589,10.3878
988.899,12.0928
990.405,13.7744
993.415,11.1221
1089.75,14.7346
1092.76,13.1172
1094.26,12.0822
1192.1,16.115
1196.61,12.9127
1198.12,13.9475
1297.46,16.7835
1300.47,13.6461
1396.8,17.8407
1398.31,14.477
1490.12,18.6722
1493.13,16.4403
1499.15,15.1784
